Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.758320,7.758320,7.005250,7.162870,6.418217,1121444
2000-01-04,6.830120,6.830120,6.304730,6.304730,5.649288,1432068
2000-01-05,6.453590,6.593700,6.217160,6.541160,5.861140,1100888
2000-01-06,6.479860,6.479860,6.304730,6.331000,5.672828,523036
2000-01-07,6.558670,6.567430,6.348510,6.523640,5.845442,480782
2000-01-10,6.611210,6.698770,6.584940,6.584940,5.900368,432818
2000-01-11,6.733800,6.733800,6.225920,6.225920,5.578671,268370
2000-01-12,6.322240,6.401050,6.217160,6.260950,5.610061,447664
2000-01-13,6.479860,6.567430,6.129600,6.304730,5.649288,425966
2000-01-14,6.304730,6.479860,6.129600,6.252190,5.602211,422540
2000-01-17,6.129600,6.479860,6.129600,6.392290,5.727746,278648
2000-01-18,6.304730,6.567430,6.304730,6.567430,5.884679,485350
2000-01-19,6.488620,6.795100,6.348510,6.348510,5.688518,847364
2000-01-20,6.523640,6.523640,6.374780,6.436080,5.766984,427108
2000-01-21,6.436080,6.567430,6.129600,6.567430,5.884679,440812
2000-01-24,6.558670,6.830120,6.392290,6.523640,5.845442,532172
2000-01-25,6.523640,6.523640,6.523640,6.523640,5.845442,0
2000-01-26,6.698770,6.742560,6.567430,6.611210,5.923907,440812
2000-01-27,6.873910,6.970230,6.786340,6.838880,6.127909,1030084
2000-01-28,6.961470,7.092820,6.821370,6.873910,6.159297,669212
2000-01-31,7.005250,7.416810,6.830120,7.259190,6.504524,1195674
2000-02-01,7.408060,7.408060,6.830120,7.092820,6.355451,566432
2000-02-02,7.092820,7.267950,7.092820,7.259190,6.504524,540166
2000-02-03,7.259190,7.311730,7.005250,7.005250,6.276984,633810
2000-02-04,7.119090,7.180390,7.005250,7.014010,6.284832,396274
2000-02-07,7.092820,7.250440,7.092820,7.241680,6.488834,770850
2000-02-08,7.311730,7.530650,7.311730,7.399300,6.630068,682916
2000-02-09,7.443080,7.504380,7.355520,7.399300,6.630068,366582
2000-02-10,7.399300,7.837130,7.399300,7.705780,6.904687,855358
2000-02-11,7.749560,7.749560,7.224170,7.224170,6.473144,384854
2000-02-14,7.224170,7.355520,7.180390,7.224170,6.473144,512758
2000-02-15,7.224170,7.285460,6.830120,7.224170,6.473144,412262
2000-02-16,7.267950,7.443080,7.267950,7.276710,6.520222,602976
2000-02-17,7.355520,7.399300,7.267950,7.311730,6.551601,253524
2000-02-18,7.259190,7.285460,7.092820,7.110330,6.371140,294636
2000-02-21,7.014010,7.373030,6.970230,7.373030,6.606528,730880
2000-02-22,7.189140,7.390540,7.005250,7.180390,6.433916,690910
2000-02-23,7.443080,7.443080,7.180390,7.267950,6.512372,488776
2000-02-24,7.355520,7.355520,7.005250,7.005250,6.276984,422540
2000-02-25,7.057790,7.180390,6.917690,6.926450,6.206375,304914
2000-02-28,6.838880,7.049040,6.663750,7.031520,6.300522,378002
2000-02-29,7.049040,7.180390,7.040280,7.180390,6.433916,504764
2000-03-01,7.197900,7.530650,7.197900,7.530650,6.747762,1087184
2000-03-02,7.618210,7.880910,7.486870,7.530650,6.747762,584704
2000-03-03,7.618210,7.749560,7.443080,7.697020,6.896836,372292
2000-03-06,7.697020,7.697020,7.697020,7.697020,6.896836,0
2000-03-07,7.697020,7.697020,7.697020,7.697020,6.896836,0
2000-03-08,7.618210,7.662000,7.565670,7.574430,6.786991,124478
2000-03-09,7.574430,7.705780,7.530650,7.697020,6.896836,137040
2000-03-10,7.697020,8.318740,7.662000,8.231170,7.375455,1693586
2000-03-13,7.880910,7.968480,7.793350,7.898420,7.077299,501338
2000-03-14,7.880910,8.143610,7.705780,7.950960,7.124376,478498
2000-03-15,8.108580,8.108580,7.749560,8.056040,7.218532,518468
2000-03-16,8.143610,8.143610,7.758320,7.758320,6.951764,236394
2000-03-17,7.793350,8.143610,7.793350,8.143610,7.296999,734306
2000-03-20,8.187390,8.318740,8.099830,8.143610,7.296999,311766
2000-03-21,8.231170,8.397550,8.161120,8.397550,7.524538,396274
2000-03-22,8.493870,8.581440,8.126090,8.126090,7.281301,470504
2000-03-23,8.056040,8.222420,7.907180,7.933450,7.108687,239820
2000-03-24,8.047290,8.274960,8.047290,8.231170,7.375455,296920
2000-03-27,8.318740,8.318740,8.187390,8.257440,7.398994,216980
2000-03-28,8.143610,8.187390,7.907180,8.082310,7.242072,901038
2000-03-29,8.274960,8.274960,8.056040,8.231170,7.375455,282074
2000-03-30,8.231170,8.231170,7.880910,7.968480,7.140074,912458
2000-03-31,8.056040,8.056040,7.793350,7.837130,7.022382,283216
2000-04-03,7.714540,7.732050,7.574430,7.618210,6.826219,293494
2000-04-04,7.618210,7.749560,7.092820,7.399300,6.630068,203276
2000-04-05,7.355520,7.880910,7.180390,7.539400,6.755603,476214
2000-04-06,7.705780,7.872150,7.618210,7.872150,7.053761,395132
2000-04-07,7.872150,7.880910,7.539400,7.880910,7.061610,41112
2000-04-10,7.705780,7.705780,7.486870,7.530650,6.747762,66236
2000-04-11,7.443080,7.486870,7.189140,7.451840,6.677145,223832
2000-04-12,7.460600,7.539400,7.180390,7.373030,6.606528,406552
2000-04-13,7.521890,7.521890,7.110330,7.119090,6.378989,202134
2000-04-14,7.092820,7.092820,6.830120,6.830120,6.120059,465936
2000-04-17,6.567430,6.830120,6.217160,6.795100,6.088680,316334
2000-04-18,6.786340,7.355520,6.786340,7.355520,6.590839,251240
2000-04-19,7.267950,7.451840,7.092820,7.189140,6.441755,197566
2000-04-20,7.267950,7.285460,7.005250,7.162870,6.418217,76514
2000-04-21,7.162870,7.162870,7.162870,7.162870,6.418217,0
2000-04-24,7.180390,7.443080,7.180390,7.267950,6.512372,214696
