Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,98.970001,99.099998,97.250000,97.750000,75.631920,5295200
2005-01-04,97.739998,98.419998,96.519997,96.699997,74.819504,5711000
2005-01-05,96.599998,97.830002,96.400002,96.500000,74.664772,5646700
2005-01-06,96.540001,96.980003,96.050003,96.199997,74.432663,4561700
2005-01-07,96.500000,96.800003,95.470001,95.779999,74.107674,6200700
2005-01-10,95.779999,96.089996,95.239998,95.680000,74.030304,4625100
2005-01-11,95.680000,95.790001,94.709999,95.000000,73.504158,4746400
2005-01-12,95.000000,95.279999,94.059998,95.209999,73.666664,5828600
2005-01-13,95.389999,96.199997,93.699997,94.449997,73.078613,5339400
2005-01-14,94.010002,94.250000,93.550003,94.099998,72.807800,5520800
2005-01-18,93.650002,95.339996,93.620003,94.900002,73.426804,8492100
2005-01-19,94.949997,95.150002,92.930000,93.099998,72.034081,7352700
2005-01-20,92.610001,93.839996,92.599998,93.000000,71.956711,5708600
2005-01-21,93.000000,93.300003,92.230003,92.379997,71.477005,7002600
2005-01-24,92.699997,92.849998,91.760002,91.790001,71.020515,6537300
2005-01-25,91.980003,92.589996,91.949997,92.190002,71.330017,5070700
2005-01-26,92.300003,92.870003,91.940002,91.949997,71.144302,5352000
2005-01-27,91.500000,92.220001,91.440002,91.980003,71.167534,4746900
2005-01-28,92.680000,93.589996,92.480003,92.889999,71.871605,5960600
2005-01-31,93.650002,93.949997,93.050003,93.419998,72.281685,4759900
2005-02-01,93.669998,94.000000,93.370003,93.860001,72.622147,3637400
2005-02-02,93.779999,94.349998,93.629997,94.300003,72.962563,3597400
2005-02-03,93.870003,93.940002,93.059998,93.540001,72.374535,3928700
2005-02-04,93.010002,94.739998,93.000000,94.510002,73.125046,3807600
2005-02-07,94.349998,94.900002,94.330002,94.529999,73.140503,2837800
2005-02-08,94.209999,94.639999,94.129997,94.129997,72.969986,3541100
2005-02-09,94.139999,94.830002,92.540001,92.699997,71.861412,5657100
2005-02-10,92.949997,93.099998,92.300003,92.760002,71.907936,4838400
2005-02-11,92.699997,93.970001,92.500000,93.300003,72.326553,4229300
2005-02-14,93.160004,94.019997,93.160004,93.570000,72.535889,2868800
2005-02-15,93.500000,94.669998,93.480003,94.330002,73.125008,4148000
2005-02-16,94.230003,94.970001,94.199997,94.620003,73.349838,4466500
2005-02-17,94.500000,94.760002,93.739998,93.750000,72.675392,4254200
